日期,code,收盘价
2022-03-30,sh.000300,4254.0989
2022-03-31,sh.000300,4222.5968
2022-04-01,sh.000300,4276.158
2022-04-06,sh.000300,4263.8411
2022-04-07,sh.000300,4209.0998
2022-04-08,sh.000300,4230.7669
2022-04-11,sh.000300,4100.0703
2022-04-12,sh.000300,4179.9727
2022-04-13,sh.000300,4139.737
2022-04-14,sh.000300,4191.5684
2022-04-15,sh.000300,4188.7472
2022-04-18,sh.000300,4166.3844
2022-04-19,sh.000300,4134.9017
2022-04-20,sh.000300,4070.7889
2022-04-21,sh.000300,3995.83
2022-04-22,sh.000300,4013.2498
2022-04-25,sh.000300,3814.9127
2022-04-26,sh.000300,3784.1198
2022-04-27,sh.000300,3895.5361
2022-04-28,sh.000300,3921.1073
2022-04-29,sh.000300,4016.241
2022-05-05,sh.000300,4010.2102
2022-05-06,sh.000300,3908.815
2022-05-09,sh.000300,3877.4364
2022-05-10,sh.000300,3919.8684
2022-05-11,sh.000300,3976.4231
2022-05-12,sh.000300,3958.74
2022-05-13,sh.000300,3988.6002
2022-05-16,sh.000300,3956.5378
2022-05-17,sh.000300,4005.8934
2022-05-18,sh.000300,3991.9069
2022-05-19,sh.000300,3999.5984
2022-05-20,sh.000300,4077.5998
2022-05-23,sh.000300,4053.9823
2022-05-24,sh.000300,3959.1541
2022-05-25,sh.000300,3983.1784
2022-05-26,sh.000300,3993.0446
2022-05-27,sh.000300,4001.2988
2022-05-30,sh.000300,4029.0179
2022-05-31,sh.000300,4091.5176
2022-06-01,sh.000300,4083.1772
2022-06-02,sh.000300,4089.5682
2022-06-06,sh.000300,4166.085
2022-06-07,sh.000300,4179.1285
2022-06-08,sh.000300,4219.8122
2022-06-09,sh.000300,4175.6747
2022-06-10,sh.000300,4238.9936
2022-06-13,sh.000300,4189.3527
2022-06-14,sh.000300,4222.3114
2022-06-15,sh.000300,4278.2178
2022-06-16,sh.000300,4250.0614
2022-06-17,sh.000300,4309.0444
2022-06-20,sh.000300,4330.4328
2022-06-21,sh.000300,4325.5657
2022-06-22,sh.000300,4270.6227
2022-06-23,sh.000300,4343.8781
2022-06-24,sh.000300,4394.7723
2022-06-27,sh.000300,4444.2639
2022-06-28,sh.000300,4490.5166
2022-06-29,sh.000300,4421.357
2022-06-30,sh.000300,4485.0108
2022-07-01,sh.000300,4466.7179
2022-07-04,sh.000300,4496.0303
2022-07-05,sh.000300,4489.5383
2022-07-06,sh.000300,4423.9698
2022-07-07,sh.000300,4443.4736
2022-07-08,sh.000300,4428.781
2022-07-11,sh.000300,4354.6167
2022-07-12,sh.000300,4313.6184
2022-07-13,sh.000300,4321.4617
2022-07-14,sh.000300,4322.0742
2022-07-15,sh.000300,4248.5273
2022-07-18,sh.000300,4292.5858
2022-07-19,sh.000300,4269.3401
2022-07-20,sh.000300,4283.8027
2022-07-21,sh.000300,4236.0578
2022-07-22,sh.000300,4238.2341
2022-07-25,sh.000300,4212.6441
2022-07-26,sh.000300,4245.9758
2022-07-27,sh.000300,4225.0357
2022-07-28,sh.000300,4225.6733
2022-07-29,sh.000300,4170.1019
2022-08-01,sh.000300,4188.6784
2022-08-02,sh.000300,4107.024
2022-08-03,sh.000300,4066.9754
2022-08-04,sh.000300,4101.5367
2022-08-05,sh.000300,4156.9111
2022-08-08,sh.000300,4148.0746
2022-08-09,sh.000300,4156.2907
2022-08-10,sh.000300,4109.7373
2022-08-11,sh.000300,4193.5428
2022-08-12,sh.000300,4191.152
2022-08-15,sh.000300,4185.6794
2022-08-16,sh.000300,4177.837
2022-08-17,sh.000300,4216.9586
2022-08-18,sh.000300,4180.0996
2022-08-19,sh.000300,4151.0738
2022-08-22,sh.000300,4181.3965
2022-08-23,sh.000300,4161.0823
2022-08-24,sh.000300,4082.4195
2022-08-25,sh.000300,4116.2396
2022-08-26,sh.000300,4107.5455
2022-08-29,sh.000300,4089.5205
2022-08-30,sh.000300,4075.7937
2022-08-31,sh.000300,4078.8402
2022-09-01,sh.000300,4043.7395
2022-09-02,sh.000300,4023.6131
2022-09-05,sh.000300,4015.4264
2022-09-06,sh.000300,4052.2802
2022-09-07,sh.000300,4054.983
2022-09-08,sh.000300,4037.6839
2022-09-09,sh.000300,4093.7874
2022-09-13,sh.000300,4111.1145
2022-09-14,sh.000300,4065.359
2022-09-15,sh.000300,4027.1186
2022-09-16,sh.000300,3932.6826
2022-09-19,sh.000300,3928.0001
2022-09-20,sh.000300,3932.8361
2022-09-21,sh.000300,3903.7348
2022-09-22,sh.000300,3869.344
2022-09-23,sh.000300,3856.0212
2022-09-26,sh.000300,3836.6773
2022-09-27,sh.000300,3892.295
2022-09-28,sh.000300,3828.7098
2022-09-29,sh.000300,3827.1434
2022-09-30,sh.000300,3804.8853
2022-10-10,sh.000300,3720.9365
2022-10-11,sh.000300,3727.6867
2022-10-12,sh.000300,3784.3064
2022-10-13,sh.000300,3752.6729
2022-10-14,sh.000300,3842.4698
2022-10-17,sh.000300,3846.4119
2022-10-18,sh.000300,3838.2667
2022-10-19,sh.000300,3776.5335
2022-10-20,sh.000300,3754.9269
2022-10-21,sh.000300,3742.8929
2022-10-24,sh.000300,3633.3733
2022-10-25,sh.000300,3627.4542
2022-10-26,sh.000300,3656.9027
2022-10-27,sh.000300,3631.1448
2022-10-28,sh.000300,3541.3295
2022-10-31,sh.000300,3508.7034
2022-11-01,sh.000300,3634.1732
2022-11-02,sh.000300,3677.8051
2022-11-03,sh.000300,3647.8966
2022-11-04,sh.000300,3767.1746
2022-11-07,sh.000300,3775.2971
2022-11-08,sh.000300,3749.3251
2022-11-09,sh.000300,3714.2704
2022-11-10,sh.000300,3685.6885
2022-11-11,sh.000300,3788.4387
2022-11-14,sh.000300,3794.0171
2022-11-15,sh.000300,3865.9726
2022-11-16,sh.000300,3834.3899
2022-11-17,sh.000300,3818.664
2022-11-18,sh.000300,3801.5686
2022-11-21,sh.000300,3769.1269
2022-11-22,sh.000300,3769.5727
2022-11-23,sh.000300,3773.5287
2022-11-24,sh.000300,3756.8082
2022-11-25,sh.000300,3775.7764
2022-11-28,sh.000300,3733.2424
2022-11-29,sh.000300,3848.4224
2022-11-30,sh.000300,3853.0365
2022-12-01,sh.000300,3894.7687
2022-12-02,sh.000300,3870.9478
2022-12-05,sh.000300,3946.8759
2022-12-06,sh.000300,3968.1979
2022-12-07,sh.000300,3958.4409
2022-12-08,sh.000300,3959.1798
2022-12-09,sh.000300,3998.2442
2022-12-12,sh.000300,3953.4433
2022-12-13,sh.000300,3945.6813
2022-12-14,sh.000300,3954.8857
2022-12-15,sh.000300,3951.9885
2022-12-16,sh.000300,3954.227
2022-12-19,sh.000300,3893.2207
2022-12-20,sh.000300,3829.0173
2022-12-21,sh.000300,3830.5384
2022-12-22,sh.000300,3836.028
2022-12-23,sh.000300,3828.2188
2022-12-26,sh.000300,3843.4887
2022-12-27,sh.000300,3887.854
2022-12-28,sh.000300,3871.2644
2022-12-29,sh.000300,3856.7007
2022-12-30,sh.000300,3871.6338
2023-01-03,sh.000300,3887.8992
2023-01-04,sh.000300,3892.9477
2023-01-05,sh.000300,3968.5782
2023-01-06,sh.000300,3980.8888
2023-01-09,sh.000300,4013.1196
2023-01-10,sh.000300,4017.4737
2023-01-11,sh.000300,4010.0309
2023-01-12,sh.000300,4017.8692
2023-01-13,sh.000300,4074.3772
2023-01-16,sh.000300,4137.9643
2023-01-17,sh.000300,4137.2422
2023-01-18,sh.000300,4130.3143
2023-01-19,sh.000300,4156.0077
2023-01-20,sh.000300,4181.5267
2023-01-30,sh.000300,4201.345
2023-01-31,sh.000300,4156.8578
2023-02-01,sh.000300,4195.9332
2023-02-02,sh.000300,4181.1493
2023-02-03,sh.000300,4141.6319
2023-02-06,sh.000300,4086.8779
2023-02-07,sh.000300,4094.2335
2023-02-08,sh.000300,4076.1411
2023-02-09,sh.000300,4130.8565
2023-02-10,sh.000300,4106.3097
2023-02-13,sh.000300,4143.574
2023-02-14,sh.000300,4145.2902
2023-02-15,sh.000300,4123.6893
2023-02-16,sh.000300,4093.4876
2023-02-17,sh.000300,4034.507
2023-02-20,sh.000300,4133.4896
2023-02-21,sh.000300,4144.3536
2023-02-22,sh.000300,4106.9506
2023-02-23,sh.000300,4103.6463
2023-02-24,sh.000300,4061.0457
2023-02-27,sh.000300,4043.8444
2023-02-28,sh.000300,4069.4587
2023-03-01,sh.000300,4126.9415
2023-03-02,sh.000300,4117.7377
2023-03-03,sh.000300,4130.5513
2023-03-06,sh.000300,4109.0102
2023-03-07,sh.000300,4048.8519
2023-03-08,sh.000300,4034.1077
2023-03-09,sh.000300,4019.8505
2023-03-10,sh.000300,3967.1352
2023-03-13,sh.000300,4008.686
2023-03-14,sh.000300,3984.6956
2023-03-15,sh.000300,3986.902
2023-03-16,sh.000300,3939.1505
2023-03-17,sh.000300,3958.8194
2023-03-20,sh.000300,3939.077
2023-03-21,sh.000300,3982.3782
2023-03-22,sh.000300,3999.4427
2023-03-23,sh.000300,4039.0895
2023-03-24,sh.000300,4027.0457
2023-03-27,sh.000300,4012.4771
2023-03-28,sh.000300,3999.5147
2023-03-29,sh.000300,4006.144
2023-03-30,sh.000300,4038.5257
2023-03-31,sh.000300,4050.9257
2023-04-03,sh.000300,4090.5676
2023-04-04,sh.000300,4103.1052
2023-04-06,sh.000300,4096.64
2023-04-07,sh.000300,4123.2799
2023-04-10,sh.000300,4104.8118
2023-04-11,sh.000300,4100.1479
2023-04-12,sh.000300,4097.2876
2023-04-13,sh.000300,4068.9786
2023-04-14,sh.000300,4091.9988
2023-04-17,sh.000300,4149.3836
2023-04-18,sh.000300,4162.032
2023-04-19,sh.000300,4124.5589
2023-04-20,sh.000300,4113.0192
2023-04-21,sh.000300,4032.5672
2023-04-24,sh.000300,3982.6429
2023-04-25,sh.000300,3962.6658
2023-04-26,sh.000300,3959.2323
2023-04-27,sh.000300,3988.4185
2023-04-28,sh.000300,4029.0858
2023-05-04,sh.000300,4030.2471
2023-05-05,sh.000300,4016.8774
2023-05-08,sh.000300,4062.6624
2023-05-09,sh.000300,4027.8754
2023-05-10,sh.000300,3996.8695
2023-05-11,sh.000300,3990.6637
2023-05-12,sh.000300,3937.7622
2023-05-15,sh.000300,3998.8872
2023-05-16,sh.000300,3978.2054
2023-05-17,sh.000300,3960.165
2023-05-18,sh.000300,3956.0701
2023-05-19,sh.000300,3944.5403
2023-05-22,sh.000300,3969.3277
2023-05-23,sh.000300,3913.1882
2023-05-24,sh.000300,3859.0935
2023-05-25,sh.000300,3850.4996
2023-05-26,sh.000300,3850.9511
2023-05-29,sh.000300,3833.9416
2023-05-30,sh.000300,3837.7531
2023-05-31,sh.000300,3798.5434
2023-06-01,sh.000300,3806.8679
2023-06-02,sh.000300,3861.8337
2023-06-05,sh.000300,3844.2492
2023-06-06,sh.000300,3808.1629
2023-06-07,sh.000300,3789.3418
2023-06-08,sh.000300,3820.1867
2023-06-09,sh.000300,3836.7026
2023-06-12,sh.000300,3844.4324
2023-06-13,sh.000300,3864.9074
2023-06-14,sh.000300,3864.0247
2023-06-15,sh.000300,3925.4994
2023-06-16,sh.000300,3963.3509
2023-06-19,sh.000300,3930.9079
2023-06-20,sh.000300,3924.2377
2023-06-21,sh.000300,3864.0323
2023-06-26,sh.000300,3809.6962
2023-06-27,sh.000300,3845.4334
2023-06-28,sh.000300,3840.7986
2023-06-29,sh.000300,3821.8435
2023-06-30,sh.000300,3842.4516
2023-07-03,sh.000300,3892.8821
2023-07-04,sh.000300,3899.0133
2023-07-05,sh.000300,3868.8054
2023-07-06,sh.000300,3842.7547
2023-07-07,sh.000300,3825.6988
2023-07-10,sh.000300,3844.3269
2023-07-11,sh.000300,3869.4861
2023-07-12,sh.000300,3843.4369
2023-07-13,sh.000300,3898.4229
2023-07-14,sh.000300,3899.1027
2023-07-17,sh.000300,3867.1749
2023-07-18,sh.000300,3854.9393
2023-07-19,sh.000300,3850.8663
2023-07-20,sh.000300,3823.6946
2023-07-21,sh.000300,3821.91
2023-07-24,sh.000300,3805.221
2023-07-25,sh.000300,3915.1153
2023-07-26,sh.000300,3907.0128
2023-07-27,sh.000300,3902.3458
2023-07-28,sh.000300,3992.7376
2023-07-31,sh.000300,4014.6301
2023-08-01,sh.000300,3998.001
2023-08-02,sh.000300,3969.895
2023-08-03,sh.000300,4004.9839
2023-08-04,sh.000300,4020.5792
2023-08-07,sh.000300,3990.1531
2023-08-08,sh.000300,3979.7322
2023-08-09,sh.000300,3967.5652
2023-08-10,sh.000300,3975.7166
2023-08-11,sh.000300,3884.2538
2023-08-14,sh.000300,3855.9061
2023-08-15,sh.000300,3846.5357
2023-08-16,sh.000300,3818.3338
2023-08-17,sh.000300,3831.1008
2023-08-18,sh.000300,3784.0038
2023-08-21,sh.000300,3729.555
2023-08-22,sh.000300,3758.2271
2023-08-23,sh.000300,3696.6339
2023-08-24,sh.000300,3723.4293
2023-08-25,sh.000300,3709.1517
2023-08-28,sh.000300,3752.6194
2023-08-29,sh.000300,3790.1067
2023-08-30,sh.000300,3788.5097
2023-08-31,sh.000300,3765.2678
2023-09-01,sh.000300,3791.4912
2023-09-04,sh.000300,3848.9517
2023-09-05,sh.000300,3820.3174
2023-09-06,sh.000300,3812.0283
2023-09-07,sh.000300,3758.4748
2023-09-08,sh.000300,3739.9927
2023-09-11,sh.000300,3767.537
2023-09-12,sh.000300,3760.6048
2023-09-13,sh.000300,3736.6513
2023-09-14,sh.000300,3733.5077
2023-09-15,sh.000300,3708.7766
2023-09-18,sh.000300,3727.711
2023-09-19,sh.000300,3720.5021
2023-09-20,sh.000300,3705.6898
2023-09-21,sh.000300,3672.4448
2023-09-22,sh.000300,3738.9327
2023-09-25,sh.000300,3714.6037
2023-09-26,sh.000300,3692.8928
2023-09-27,sh.000300,3700.495
2023-09-28,sh.000300,3689.5172
2023-10-09,sh.000300,3684.7272
2023-10-10,sh.000300,3657.1259
2023-10-11,sh.000300,3667.5483
2023-10-12,sh.000300,3702.3824
2023-10-13,sh.000300,3663.4104
2023-10-16,sh.000300,3626.5972
2023-10-17,sh.000300,3639.4018
2023-10-18,sh.000300,3610.5767
2023-10-19,sh.000300,3533.5445
2023-10-20,sh.000300,3510.5889
2023-10-23,sh.000300,3474.2438
2023-10-24,sh.000300,3487.1302
2023-10-25,sh.000300,3504.4576
2023-10-26,sh.000300,3514.1448
2023-10-27,sh.000300,3562.3851
2023-10-30,sh.000300,3583.7718
2023-10-31,sh.000300,3572.5056
2023-11-01,sh.000300,3571.0268
2023-11-02,sh.000300,3554.1889
2023-11-03,sh.000300,3584.1364
2023-11-06,sh.000300,3632.6084
2023-11-07,sh.000300,3619.7593
2023-11-08,sh.000300,3611.0723
2023-11-09,sh.000300,3612.8263
2023-11-10,sh.000300,3586.4893
2023-11-13,sh.000300,3579.4141
2023-11-14,sh.000300,3582.0584
2023-11-15,sh.000300,3607.2454
2023-11-16,sh.000300,3572.3641
2023-11-17,sh.000300,3568.0685
2023-11-20,sh.000300,3576.3233
2023-11-21,sh.000300,3581.0674
2023-11-22,sh.000300,3544.4162
2023-11-23,sh.000300,3561.5204
2023-11-24,sh.000300,3538.0087
2023-11-27,sh.000300,3511.9424
2023-11-28,sh.000300,3518.5232
2023-11-29,sh.000300,3488.3073
2023-11-30,sh.000300,3496.2028
2023-12-01,sh.000300,3482.8813
2023-12-04,sh.000300,3460.138
2023-12-05,sh.000300,3394.2571
2023-12-06,sh.000300,3399.598
2023-12-07,sh.000300,3391.2823
2023-12-08,sh.000300,3399.4618
2023-12-11,sh.000300,3419.4548
2023-12-12,sh.000300,3426.803
2023-12-13,sh.000300,3369.605
2023-12-14,sh.000300,3351.9639
2023-12-15,sh.000300,3341.5517
2023-12-18,sh.000300,3329.3657
2023-12-19,sh.000300,3334.0412
2023-12-20,sh.000300,3297.5022
2023-12-21,sh.000300,3330.8698
2023-12-22,sh.000300,3337.2281
2023-12-25,sh.000300,3347.4508
2023-12-26,sh.000300,3324.7902
2023-12-27,sh.000300,3336.3572
2023-12-28,sh.000300,3414.5403
2023-12-29,sh.000300,3431.1099
2024-01-02,sh.000300,3386.3522
2024-01-03,sh.000300,3378.2971
2024-01-04,sh.000300,3347.0519
2024-01-05,sh.000300,3329.1114
2024-01-08,sh.000300,3286.0564
